ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,day_friday,day_friday_lower,day_friday_upper,day_monday,day_monday_lower,day_monday_upper,day_saturday,day_saturday_lower,day_saturday_upper,day_sunday,day_sunday_lower,day_sunday_upper,day_thursday,day_thursday_lower,day_thursday_upper,day_tuesday,day_tuesday_lower,day_tuesday_upper,day_wednesday,day_wednesday_lower,day_wednesday_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,precipitation_sum_mm,precipitation_sum_mm_lower,precipitation_sum_mm_upper,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,556.78504,228.15365277264874,576.1582466621617,556.78504,556.78504,-155.04465907067984,-155.04465907067984,-155.04465907067984,20.940312,20.940312,20.940312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.630246299973873,-18.630246299973873,-18.630246299973873,2.769290491786588,2.769290491786588,2.769290491786588,-42.33984879176046,-42.33984879176046,-42.33984879176046,-45.163597605126945,-45.163597605126945,-45.163597605126945,-91.25081516557903,-91.25081516557903,-91.25081516557903,0.0,0.0,0.0,401.74038092932017
2021-01-02,556.9355356295134,397.72271122291045,722.323612177676,556.9355356295134,556.9355356295134,-2.950531201588828,-2.950531201588828,-2.950531201588828,0.0,0.0,0.0,0.0,0.0,0.0,56.352638,56.352638,56.352638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.866268620814832,17.866268620814832,17.866268620814832,2.4769421284607267,2.4769421284607267,2.4769421284607267,-40.96331150764589,-40.96331150764589,-40.96331150764589,78.77953079900307,78.77953079900307,78.77953079900307,-99.59633062140674,-99.59633062140674,-99.59633062140674,0.0,0.0,0.0,553.9850044279247
2021-01-03,557.0860312590266,610.4335702510438,944.822059884476,557.0860312590266,557.0860312590266,221.55492980344076,221.55492980344076,221.55492980344076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.096095,107.096095,107.096095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22964597585009,73.22964597585009,73.22964597585009,2.623116310123657,2.623116310123657,2.623116310123657,-36.489565334273564,-36.489565334273564,-36.489565334273564,256.38149620353687,256.38149620353687,256.38149620353687,-108.05621237594626,-108.05621237594626,-108.05621237594626,0.0,0.0,0.0,778.6409610624673
2021-01-04,557.2365268885401,224.97238735709936,566.2786045113165,557.2365268885401,557.2365268885401,-164.30355896167111,-164.30355896167111,-164.30355896167111,0.0,0.0,0.0,23.164836,23.164836,23.164836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.35747870312126,-10.35747870312126,-10.35747870312126,2.623116310123657,2.623116310123657,2.623116310123657,-36.14543101324492,-36.14543101324492,-36.14543101324492,-37.37754161703051,-37.37754161703051,-37.37754161703051,-116.56853864151937,-116.56853864151937,-116.56853864151937,0.0,0.0,0.0,392.93296792686897
2021-01-05,557.3870225180533,161.72853966635844,485.0603601226253,557.3870225180533,557.3870225180533,-237.26477481645188,-237.26477481645188,-237.26477481645188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.952192199999999,8.952192199999999,8.952192199999999,0.0,0.0,0.0,-25.060431005812838,-25.060431005812838,-25.060431005812838,2.4769421284607267,2.4769421284607267,2.4769421284607267,-36.489565334273564,-36.489565334273564,-36.489565334273564,-87.1222556031827,-87.1222556031827,-87.1222556031827,-125.08208820745638,-125.08208820745638,-125.08208820745638,0.0,0.0,0.0,320.1222477016014
2021-01-06,557.5375181475667,140.40724680514924,451.03941541344886,557.5375181475667,557.5375181475667,-259.4638174975211,-259.4638174975211,-259.4638174975211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6495266,5.6495266,5.6495266,-27.227121727321347,-27.227121727321347,-27.227121727321347,1.8922454018090034,1.8922454018090034,1.8922454018090034,-34.768893729130355,-34.768893729130355,-34.768893729130355,-98.6812800780765,-98.6812800780765,-98.6812800780765,-133.5554156921233,-133.5554156921233,-133.5554156921233,0.0,0.0,0.0,298.0737006500456
2021-01-07,557.6880137770801,165.38465152049068,500.52920434901426,557.6880137770801,557.6880137770801,-230.4304996261616,-230.4304996261616,-230.4304996261616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7538028,14.7538028,14.7538028,0.0,0.0,0.0,0.0,0.0,0.0,-21.65857696156791,-21.65857696156791,-21.65857696156791,1.4537228568202114,1.4537228568202114,1.4537228568202114,-37.866102618388126,-37.866102618388126,-37.866102618388126,-66.81635209987793,-66.81635209987793,-66.81635209987793,-141.95557056471574,-141.95557056471574,-141.95557056471574,0.0,0.0,0.0,327.2575141509185
2021-01-08,557.8385094065934,169.17939636404506,498.7504572960196,557.8385094065934,557.8385094065934,-212.67383637319563,-212.67383637319563,-212.67383637319563,20.940312,20.940312,20.940312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.253709015859307,-17.253709015859307,-17.253709015859307,2.769290491786588,2.769290491786588,2.769290491786588,-40.96331150764589,-40.96331150764589,-40.96331150764589,-45.16359760497678,-45.16359760497678,-45.16359760497678,-150.2565297523595,-150.2565297523595,-150.2565297523595,0.0,0.0,0.0,345.1646730333978
2021-01-09,557.9890050361067,324.09960119149815,661.9020561621884,557.9890050361067,557.9890050361067,-61.84340747409622,-61.84340747409622,-61.84340747409622,0.0,0.0,0.0,0.0,0.0,0.0,56.352638,56.352638,56.352638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81448266311205,17.81448266311205,17.81448266311205,2.769290491786588,2.769290491786588,2.769290491786588,-41.30744582867454,-41.30744582867454,-41.30744582867454,78.77953079910031,78.77953079910031,78.77953079910031,-158.4374209363086,-158.4374209363086,-158.4374209363086,0.0,0.0,0.0,496.1455975620105
2021-01-10,558.1395006656201,561.475289459699,876.3639082768277,558.1395006656201,558.1395006656201,156.04987735608785,156.04987735608785,156.04987735608785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.096095,107.096095,107.096095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.14899941591159,66.14899941591159,66.14899941591159,2.769290491786588,2.769290491786588,2.769290491786588,-43.716386075875015,-43.716386075875015,-43.716386075875015,256.38149620380307,256.38149620380307,256.38149620380307,-166.48061826362678,-166.48061826362678,-166.48061826362678,0.0,0.0,0.0,714.1893780217079
